id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19918607,100 sqm - High Floor 2BR with panorama City View,8123510,Tatiya,,Huai Khwang,13.76155,100.56949,Entire home/apt,2929,4,143,2022-08-25,2.28,11,321,19,
19920216,Ideo Wutthakat condominium by Lux,104122286,Laksanara,,Chom Thong,13.71583,100.46859,Private room,550,2,64,2021-01-04,1.19,14,112,0,
20126898,THE FULLY BLESSED SUITE : 2BR  WIFI/MRT/JODD FAIRS,79624768,Eva,,Huai Khwang,13.75902,100.56884,Entire home/apt,1914,1,103,2022-09-01,1.65,42,83,13,
19920243,near airport BKK FREE WIFI Private/AOT transfer,133213617,Nuttrose,,Min Buri,13.79432,100.70916,Private room,940,1,0,,,3,365,0,
20128804,No.3 Studio Nearly Chaopraya Express Boat- WIFI,49591950,Jar,,Khlong San,13.7333,100.50589,Private room,450,2,86,2022-06-27,1.38,1,319,2,
19933225,Cosy,141238214,Chatchawal,,Khlong Toei,13.71021,100.59586,Entire home/apt,8000,30,7,2018-09-30,0.11,1,365,0,
19933567,Spacious Condo in Central Bangkok,77399790,Tom M.,,Khlong Toei,13.71281,100.57945,Private room,1027,1,1,2017-08-15,0.02,2,180,0,
20128937,Island Resort Ramindra,143110254,Surachai,,Khan Na Yao,13.82424,100.68038,Private room,800,1,7,2020-11-22,0.14,3,174,0,
19933572,"Large Apartment in Prime location, Ceil Sansiri",77399790,Tom M.,,Vadhana,13.73111,100.58939,Private room,1090,1,5,2018-04-01,0.09,2,180,0,
20129823,"Free pick-up, Cozy room on High Floor",45975817,Nivit,,Bang Kapi,13.76285,100.6487,Entire home/apt,700,1,43,2020-03-15,0.70,4,349,0,
20514756,bangkok top,146460831,Danila,,Bang Khun thain,13.65702,100.44425,Entire home/apt,23299,1,1,2022-08-29,1,1,365,1,
